Index,Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
1,Olde Tudor Hotel,Launceston,Standard Double Room,163,8.0,"2,666"
2,Caves Coastal Bar & Bungalows,Caves Beach,Ocean Bungalow - Adults Only,369,8.3,630
3,Rydges World Square,"Sydney CBD, Sydney",Deluxe King – check-in after 8:30PM only,276,8.1,"5,883"
4,Sage Melbourne Ringwood,Ringwood,Deluxe King Room,204,8.7,"1,417"
5,Quest Bella Vista,Baulkham Hills,Studio Apartment,193,8.5,"1,598"
6,Kryal Castle Ballarat,Ballarat,Budget Family Room – Sleeps 9,153,8.1,"1,769"
7,Atura Blacktown,Blacktown,Atura King Room,179,8.1,"1,282"
8,Bay Of Fires Apartments,St Helens,King Suite,322,8.7,"1,044"
9,ibis Brisbane Airport,Brisbane,Standard Twin Room,249,8.3,"14,108"
10,Angel Sussurri,Yarramalong,King Room,300,9.0,172
11,Low Head Pilot Station,Low Head,One Bedroom Cottage - Boatcrew East,358,8.8,564
12,Aquarius Kawana,Kawana Waters,Superior Two Bedroom Apartment with Lake Views,297,8.6,"2,318"
13,Lancemore Milawa,Milawa,Garden Sunset,358,8.6,420
14,Dolphin Lodge Albany - Self Contained Apartments at Middleton Beach,Albany,One-Bedroom Apartment,232,9.0,"2,640"
15,Whitsunday Sands Resort,Bowen,Ocean Kitchenette Queen Room,170,9.0,"1,607"
16,Contour Hotel Katherine,Katherine,Standard Room,273,8.1,"1,363"
17,Woomargama Motel,Woomargama,Double Room,122,8.9,"1,371"
18,Mercure Kangaroo Island Lodge,American River,Superior Queen Poolview,237,8.2,501
19,Holiday Inn Melbourne Airport by IHG,Melbourne,Standard Room,207,8.3,"9,551"
20,Mercure Sydney Rouse Hill,Kellyville,Superior King Room,215,8.8,"1,377"
21,The Continental Hotel,Broome,King Terrace,229,8.2,"1,204"
22,Beresford Estate,McLaren Flat,Suite,455,9.2,381
23,Oaks Darwin Elan Hotel,"Darwin CBD, Darwin",Hotel Room,169,8.4,"3,334"
24,Mineral Springs Hotel Hepburn,Hepburn Springs,Heritage Classic room,509,8.8,682
25,Mantra Wollongong,Wollongong,Superior One-Bedroom Apartment,349,7.2,"1,621"
26,The Albion Motel Castlemaine,Castlemaine,Queen Room,210,8.9,516
27,"Hospitality Kalgoorlie, SureStay Collection by Best Western",Kalgoorlie,Standard Queen Room,175,7.7,"1,366"
28,Port Arthur Motor Inn,Port Arthur,Double or Twin Room with Garden View,145,7.9,"1,485"
29,Desert Palms Alice Springs,Alice Springs,Family Villa,180,8.2,"2,203"
30,Balgownie Estate Yarra Valley,Yarra Glen,Standard Queen Room,299,8.6,"1,810"
31,High Country Holiday Park,Mansfield,Double Room with Private Bathroom,140,8.8,"1,538"
32,Bicheno East Coast Holiday Park,Bicheno,One-Bedroom Cabin,119,8.2,"2,179"
33,Clare Country Club,Clare,Superior Room,155,8.6,"1,127"
34,Kingswood Motel,Tocumwal,Triple Room - Disability Access,143,7.6,594
35,Rydges Kalgoorlie,Kalgoorlie,Executive One Bedroom Spa Garden View Apartment,350,8.2,"1,361"
36,Gundagai Cabins & Tourist Park,Gundagai,Deluxe Queen Cabin,144,7.9,880
37,Bega Motel,Bega,Deluxe King Room with Kitchenette,454,8.0,"1,046"
38,Palm Beach Bed & Breakfast,Palm Beach,Deluxe Double Room with Balcony and Sea View,350,9.5,405
39,Lakeview Motel and Apartments,Robe,Executive Twin Room,246,8.3,"1,418"
40,Hospitality Esperance SureStay Collection by Best Western,Esperance,Standard Queen Room,329,8.1,"1,825"
41,Up the Back,Bicheno,Two-Bedroom House,290,9.6,246
42,Abode Murrumbateman,Murrumbateman,Queen Room,178,9.0,"2,384"
43,Mission Beach Resort,Mission Beach,Superior Queen Room,222,8.1,"1,321"
44,Hepburn at Hepburn,Hepburn Springs,One-Bedroom Villa,368,9.3,"1,237"
45,The Oak & Anchor Hotel,Port Fairy,Queen Suite,444,9.0,"1,011"
46,Adelong Motel,Narrabri,Double or Twin Room,190,8.7,"1,108"
47,Mornington Hotel,Mornington,Standard Suite,161,8.5,"2,379"
48,Ramada Resort by Wyndham Shoal Bay,Shoal Bay,Standard Studio – No Views,209,8.3,"3,399"
49,Carnarvon Central Apartments,Carnarvon,Apartment,180,8.2,679
50,Redhill Cooma Motor Inn,Cooma,Standard Twin Room,137,7.6,"1,683"
